address,city,state,zip_code
2120 Traver Road,Ann Arbor,MI,48105
627 Ag A Ming Drive,Kewadin,MI,49648
1135 Golf Course Road,Alpena,MI,49707
6320 Alpine NW,Comstock Park,MI,49321
1225 S Kalamazoo Ave,Marshall,MI,49068
3600 East W Avenue,Vicksburg,MI,49097
5441 W. M-115,Mesick,MI,49649
1426 Arbor Hills Rd,Jackson,MI,49201
14710 Northwood Hwy,Arcadia,MI,49613
2170 Alden Nash NE,Lowell,MI,49331
3350 Kern Rd,Lake Orion,MI,48360
318 Country Club Dr,Battle Creek,MI,49015
5800 Coastal Ridge Drive,Bay Harbor,MI,48435
4001 Haggerty Road,West Bloomfield Twp,MI,48323
2470 Old Bridge Road,Bay City,Mi,48706
4600 N River Rd,Freeland,MI,48623
6011 Majestic Oaks Dr,Commerce Township,MI,48382
850 Stoney Creek Rd,Oakland,MI,48363
6400 Jackman Rd,Temperance,MI,48182
23161 Waubascon Road,Battle Creek,MI,49017
7494 Hospital Rd,Freeland,MI,48623
53 Military Street,Springfield,MI,49037
608 One Straight Drive,Coldwater,MI,49036
3388 West Eddy School Road,Bellaire,MI,49615
12564 Belle River Road  ,Memphis,MI,48041
23650 23 Mile Rd,Macomb,MI,48042
5731 Marion Center Road,Charlevoix,MI,49665
 3410 Scenic Dr,Shelby,MI,49455
2480 Duck Lake Rd,Whitehall,MI,49461
690 W Napier Ave,Benton Harbor,MI,49022
7255 B Drive South,Battle Creek,MI,49014
600 Birchwood Dr,Harbor Springs,MI,49740
7850 N Van Dyke Rd,Port Austin,MI,48467
1750 Saxon Dr,Birmingham,MI,48009
1500 W Alexander Rd,Vanderbilt,MI,49795
6500 Nicklaus Dr,Gaylord,MI,49735
2800 Maxon Road,Onaway,MI,49765
3300 Country Club Drive ,Port Huron,MI,48060
3311 Rochester Rd,Rochester Hills,MI,48306
350 W Long Lake Rd,Bloomfield Hills,MI,48304
1565 Britain Ave,Benton Harbor,MI,49022
5801 Northland Dr,Belmont,MI,49306
5750 Brewer Ave NE,Belmont,MI,49306
52100 Fairchild Rd,Chesterfield,MI,48616
1 Champions Circle,Oxford,MI,48371
600 Highlands Dr,Harbor Springs,MI,49740
1 Boyne Mountain Rd,Boyne Falls,MI,49713
10860 W Five Mile Rd,Plymouth,MI,48168
5460 11 Mile Rd NE,Rockford,MI,49341
2154 Bramblewood Dr,Holly,MI,48442
215 Branson Bay Dr,Mason,MI,48854
2450 Havenwood,White Lake,MI,48383
399 84th Street Southeast,Byron Center,MI,49315
950 W 40th St,Fremont,MI,49412
11099 W Dodge Rd,Montrose,MI,48457
2900 92nd St SE,Caledonia,MI,49316
12559 Bagley Ave,Grant,MI,49327
7725 Kraft Ave SE,Caledonia,MI,49316
205 W Church St,Williamston,MI,48895
6451 Ann Arbor-Saline Rd,Saline,MI,48176
6045 Davison Rd,Burton,MI,48509
998 Brookwood Ln E,Rochester Hills,MI,48309
1339 Rynearson Rd,Buchanan,MI,49107
6771 Taft Rd,Romeo,MI,48065
1559 S Chipewa Rd,Mt. Pleasant,MI,48858
"4345 Redwood Dr, ",Roscommon,MI,48653
22871 21 Mile Rd,Macomb,MI,48044
3491 N Parma Rd,Parma,MI,49269
5510 M-55,Cadillac,MI,49601
4490 WIllis Rd,Grass Lake,MI,49240
54270 Golf Course Rd,Calumet,MI,49913
10690 Pierce Road,Canadian Lakes,MI,48187
8100 N Storey Rd,Belding,MI,48809
1000 Woodfield Dr,Grand Blanc,MI,48439
13470 Grafton Rd,Carleton,MI,48117
911 St James Park Ave,Monroe,MI,48161
3725 Cascade Rd SE,Grand Rapids,MI,49546
1992 Warren Ave,Jackson,MI,49203
5191 Lum Rd,Lum,MI,48412
57737 W 9 Mile Rd,South Lyon,MI,48178
7551 - 17 Mile Rd NE,Cedar Springs,MI,49318
14000 Renton Rd,Battle Creek,MI,49015
12111 S Helmer Rd,Battle Creek,MI,49015
36860 Twenty Five Mile Rd,New Baltimore,MI,48047
3757 N Weaver Rd,Comins,MI,48619
12485 Dow Rd,Sunfield,MI,48890
5640 N Adrian Hwy,Adrian,MI,49221
501 N Marshall Rd,Beulah,MI,49617
12801 Chandler Park Dr,Detroit,MI,48213
4646 E Howe Rd,Bath,MI,48808
9600 Clubhouse Dr,Charlevoix,MI,49720
400 Fairway Drive,Charlevoix,MI,49720
2454 Putnam Rd,Muskegon,MI,49445
1431 Old Mackinaw Rd,Cheboygan,MI,49721
3125 Golf Club Rd,Howell,MI,48843
52000 Cherry Creek Dr,Shelby Township,MI,49455
7910 Whiteford Center Rd,Ottawa Lake,MI,49267
3829 102nd Ave,Allegan,MI,49010
7700 Glovers Lake Road,Bear Lake,MI,49614
1875 Clubhouse Dr,Harbor Springs,MI,49740
15029 Lakeside Rd,Lakeside,MI,49116
2395 S Washington Rd,Lansing,MI,48911
125 Chocolay Downs Dr,Marquette,MI,49855
14777 150th Ave,Big Rapids,MI,49307
6494 Clearbrook Dr,Saugatuck,MI,49453
13141 N Linden Rd,Clio,MI,48420
7331 Pulaski Rd,Concord,MI,49237
27925 Golf Pointe Blvd,Farmington Hills,MI,48331
2125 Lakeville Rd,Oxford,MI,48370
8475 Atherton Rd,Davison,MI,48423
1840 Cornell Road,Corunna,MI,48867
220 Country Club Dr,Grosse Pointe Farms,MI,48236
3135 Horton Rd,Jackson,MI,49203
2200 Moores River Dr,Lansing,MI,48911
11903 Chippewa Hwy,Bear Lake,MI,49614
2278 South Reese Road,Reese,MI,48757
28700 Milford Rd,New Hudson,MI,48165
9218 Preserve Dr,Fenton,MI,48430
18215 24 Mile Rd,Macomb,MI,48042
900 D Avenue West,Kalamazoo,MI,49009
6279 96th Ave,Zeeland,MI,49464
5123 St Anthony Rd,Ottawa Lake,MI,49267
600 Crooked Tree Dr,Petoskey,MI,49770
2430 W Crown Dr,Traverse City,MI,49685
8493 Fairway Dr,Beulah,MI,49617
